pid,bc,dir,yds,succ,kne
694063,RJ-0800,LG,4,1,0
694064,RJ-0800,MD,3,1,0
694066,RJ-0800,LT,21,1,0
694067,RJ-0800,RG,5,1,0
694072,RM-1200,LE,0,0,0
694074,RM-1200,LG,3,0,0
694077,RJ-0800,RT,5,1,0
694082,KB-0350,RG,0,0,0
694084,KB-0350,RG,5,1,0
694089,DS-3300,RG,5,1,0
694093,DM-4300,LT,-1,0,0
694095,DM-4300,LG,-1,0,0
694101,RJ-0800,LE,4,1,0
694102,RJ-0800,LT,-2,0,0
694104,SV-0200,RT,4,1,0
694109,RJ-0800,RG,10,1,0
694110,RJ-0800,RG,0,0,0
694111,RJ-0800,LT,3,1,0
694112,RJ-0800,RG,2,1,0
694115,SB-1100,NL,-1,0,1
694117,RJ-0800,LG,0,0,0
694119,RJ-0800,LG,21,1,0
694120,RJ-0800,RT,2,0,0
694124,RM-1200,LG,7,1,0
694128,DM-4300,RE,4,1,0
694129,DM-4300,LE,3,0,0
694133,DM-4300,LG,0,0,0
694137,AW-1350,LG,5,1,0
694139,AW-1350,LT,3,0,0
694140,AW-1350,LG,5,1,0
694143,RJ-0800,LG,3,0,0
694148,RJ-0800,RG,15,1,0
694149,RJ-0800,RT,5,1,0
694151,RJ-0800,MD,0,0,0
694153,SV-0200,LG,3,0,0
694155,KB-0350,RE,2,0,0
694157,KB-0350,MD,7,1,0
694160,DM-4300,RT,4,1,0
694161,DM-4300,LG,1,0,0
694165,KB-0350,MD,4,1,0
694171,RJ-0800,MD,5,0,0
694173,SV-0200,RT,3,0,0
694175,RJ-0800,LT,5,1,0
694179,RJ-0800,RG,-2,0,0
694184,DM-4300,LG,6,1,0
694187,DM-4300,RG,4,1,0
694188,DM-4300,LT,-2,0,0
694200,SB-1100,NL,-1,0,1
694203,AA-0025,LT,6,1,0
694205,AA-0025,RG,6,1,0
694206,AA-0025,RE,11,1,0
694213,MF-1300,LT,3,0,0
694214,MF-1300,RG,4,0,0
694217,MF-1300,LE,6,1,0
694220,MF-1300,RG,3,0,0
694221,MF-1300,LG,5,1,0
694222,MF-1300,LG,7,1,0
694223,JC-6200,LG,11,1,0
694225,MF-1300,RG,5,1,0
694231,KC-0250,LT,10,1,0
694233,MF-1300,LG,3,1,0
694234,MF-1300,LE,-1,0,0
694236,JB-2700,RG,0,0,0
694239,AA-0025,LE,0,0,0
694244,TR-0370,LG,3,0,0
694248,JL-0280,RG,3,0,0
694251,JB-2700,LG,5,1,0
694255,MS-4100,LG,1,0,0
694269,MF-1300,LG,7,1,0
694270,MF-1300,RG,2,1,0
694271,MF-1300,LT,5,1,0
694273,JL-0280,RG,3,0,0
694275,JL-0280,RG,1,0,0
694276,MM-0900,RE,-3,0,0
694280,AA-0025,LT,2,0,0
694285,JL-0280,LG,4,1,0
694286,JL-0280,LG,3,0,0
694291,JB-2700,RE,4,1,0
694292,AA-0025,RE,6,1,0
694293,TR-0370,RG,1,0,0
694295,MS-4100,LT,12,1,0
694296,AA-0025,RG,2,0,0
694301,MF-1300,LT,5,0,0
694304,MF-1300,RG,4,1,0
694312,AA-0025,RE,4,1,0
694314,AA-0025,RG,3,1,0
694318,MF-1300,RG,3,0,0
694333,MF-1300,RG,2,0,0
694335,MF-1300,RG,13,1,0
694337,AA-0025,LE,4,1,0
694338,MS-4100,RE,1,0,0
694340,MS-4100,NL,-1,0,1
694341,MS-4100,NL,-1,0,1
694342,MS-4100,NL,-2,0,1
694346,CW-1450,MD,13,1,0
694347,CW-1450,LG,-1,0,0
694348,CW-1450,MD,3,0,0
694355,LM-1850,LG,5,1,0
694357,LM-1850,RG,3,0,0
694358,LM-1850,MD,-1,0,0
694362,SW-0350,MD,1,0,0
694364,AS-1600,RE,9,1,0
694366,SW-0350,LE,15,1,0
694367,SW-0350,MD,4,1,0
694370,AS-1600,RG,6,1,0
694372,JM-0200,RE,18,1,0
694373,SW-0350,MD,3,1,0
694377,LM-1850,RE,4,1,0
694380,LM-1850,LG,-1,0,0
694383,CW-1450,MD,1,0,0
694385,AS-1600,LE,2,0,0
694387,AS-1600,LE,22,1,0
694388,CW-1450,MD,2,0,0
694389,CW-1450,RT,-6,0,0
694390,AS-1600,MD,5,0,0
694394,LM-1850,LE,1,0,0
694399,DC-0725,MD,5,1,0
694400,LM-1850,RG,9,1,0
694402,RH-1600,MD,2,0,0
