uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
99087,4233,693312,CIN,9,DWNS,4,2,20,28,3,2,0,0,0,9,3,0,0,0,0,0,9,PUNT
99088,4233,693316,BAL,10,PUNT,4,1,4,5,3,0,0,0,0,0,1,0,2,0,11,0,11,PUNT
99089,4233,693321,CIN,10,PUNT,4,4,27,46,8,5,1,1,0,19,5,7,2,1,0,5,21,FG
99090,4233,693331,BAL,11,KOFF,4,2,20,25,8,6,0,5,0,0,0,73,8,8,2,0,75,TD
99091,4233,693342,CIN,11,KOFF,4,1,5,56,3,0,0,0,0,3,3,0,0,0,0,5,3,PUNT
99092,4233,693347,BAL,12,PUNT,4,0,17,9,2,0,0,0,0,0,0,0,2,0,0,0,0,INT
99093,4233,693349,CIN,12,INT,4,0,24,85,1,0,0,0,0,-2,1,0,0,0,0,0,-2,ENDQ
99094,4234,693351,PIT,1,KOFF,1,2,8,22,5,2,0,2,0,1,1,24,4,3,0,0,25,FUM
99095,4234,693356,CLE,1,FUM,1,1,28,61,4,1,0,0,1,0,1,9,3,2,0,0,9,DWNS
99096,4234,693360,PIT,2,DWNS,1,4,18,30,8,6,0,4,0,1,1,74,7,7,0,5,70,TD
99097,4234,693371,CLE,2,KOFF,1,3,38,21,5,2,0,1,0,0,1,-3,4,2,5,0,2,PUNT
99098,4234,693378,PIT,3,PUNT,1,0,7,29,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
99099,4234,693379,CLE,3,INT,1,2,10,76,6,1,1,0,0,13,2,0,3,1,0,0,13,FG
99100,4234,693386,PIT,4,KOFF,1,3,40,20,9,4,0,3,0,6,3,49,5,4,0,5,50,MFG
99101,4234,693396,CLE,4,MFG,2,3,28,38,6,2,1,0,0,7,3,6,3,2,5,0,18,PUNT
99102,4234,693404,PIT,5,PUNT,2,1,49,7,3,1,0,0,0,7,2,0,1,0,0,0,7,PUNT
99103,4234,693408,CLE,5,PUNT,2,5,18,48,11,6,1,2,0,15,4,21,6,3,0,5,31,FG
99104,4234,693421,PIT,6,KOFF,2,0,58,20,6,4,0,3,0,0,0,80,6,4,0,0,80,TD
99105,4234,693429,CLE,6,KOFF,2,0,58,20,9,3,0,3,0,0,0,65,8,3,0,0,65,FG
99106,4234,693439,CLE,7,KOFF,3,1,0,7,3,0,0,0,0,2,1,0,2,0,0,0,2,PUNT
99107,4234,693443,PIT,7,PUNT,3,0,55,38,2,0,0,0,0,2,1,0,1,0,0,0,2,INT
99108,4234,693445,CLE,8,INT,3,0,53,91,3,1,0,0,0,4,1,0,2,0,0,0,4,INT
99109,4234,693448,PIT,8,INT,3,2,33,5,7,1,0,1,0,3,2,66,4,1,5,0,74,FG
99110,4234,693457,CLE,9,KOFF,3,9,46,27,17,8,2,2,0,45,10,27,6,4,5,15,62,FG
99111,4234,693476,PIT,9,KOFF,4,3,6,19,5,3,0,2,0,4,2,27,3,2,0,0,31,PUNT
99112,4234,693482,CLE,10,PUNT,4,0,58,1,3,1,0,2,0,0,0,7,3,1,0,0,7,FUM
99113,4234,693487,PIT,10,FUM,4,0,12,92,2,2,0,1,1,0,0,8,1,1,0,0,8,TD
99114,4234,693490,PIT,11,KOFF,4,2,57,72,6,2,0,1,0,4,2,21,3,2,0,0,25,FG
99115,4234,693497,CLE,11,KOFF,4,3,13,22,7,3,0,2,0,0,0,27,7,3,10,5,32,INT
99116,4234,693507,PIT,12,INT,4,2,21,44,3,1,0,0,0,4,3,0,0,0,0,5,4,PUNT
99117,4234,693512,CLE,12,PUNT,4,1,1,20,6,2,0,1,0,0,0,18,6,3,5,0,23,DWNS
99118,4234,693519,PIT,13,DWNS,4,1,5,57,2,0,0,0,0,-2,2,0,0,0,0,0,-2,ENDQ
99119,4235,693522,JAC,1,KOFF,1,1,26,34,3,0,0,0,0,3,1,-8,2,0,0,0,-5,PUNT
99120,4235,693526,HOU,1,PUNT,1,1,24,22,3,0,0,0,0,1,1,-7,2,0,0,0,-6,PUNT
99121,4235,693530,JAC,2,PUNT,1,3,16,41,6,0,0,0,1,6,2,16,4,2,5,10,17,DWNS
99122,4235,693538,HOU,2,DWNS,1,3,30,42,8,3,0,2,0,10,2,34,5,3,8,5,47,FG
99123,4235,693548,JAC,3,KOFF,1,1,37,24,3,0,0,0,0,3,1,-6,2,0,0,0,-3,PUNT
99124,4235,693552,HOU,3,PUNT,1,4,33,21,10,7,1,3,1,13,3,61,7,5,5,0,79,TD
99125,4235,693565,JAC,4,KOFF,2,4,1,20,8,4,1,1,0,13,4,42,3,2,0,0,55,FG
99126,4235,693574,HOU,4,KOFF,2,1,32,20,3,1,0,0,0,1,1,5,2,1,0,0,6,PUNT
99127,4235,693578,JAC,5,PUNT,2,0,47,42,2,0,1,0,0,0,2,0,0,0,0,0,0,FUM
99128,4235,693580,HOU,5,FUM,2,2,17,58,6,4,2,0,1,33,3,1,3,1,0,0,42,TD
99129,4235,693588,JAC,6,KOFF,2,2,20,12,5,2,0,1,0,6,1,18,4,1,0,0,24,PUNT
99130,4235,693594,HOU,6,PUNT,2,1,47,13,4,1,1,0,0,18,3,0,1,0,0,5,13,PUNT
99131,4235,693600,JAC,7,PUNT,2,0,18,38,3,0,0,0,0,0,0,0,3,0,0,0,0,INT
99132,4235,693603,HOU,7,INT,2,1,12,25,8,3,0,3,0,0,0,47,7,4,0,5,42,FG
99133,4235,693614,HOU,8,KOFF,3,2,49,20,4,1,0,0,1,6,2,6,2,2,5,5,12,PUNT
99134,4235,693621,JAC,8,PUNT,3,2,18,39,4,1,0,1,0,-2,1,17,3,2,0,0,15,PUNT
99135,4235,693626,HOU,9,PUNT,3,6,4,11,11,5,2,2,0,33,6,22,5,3,0,0,55,DWNS
