tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8479,4240,OAK,17,0,10,0,7,2,9,3,48,16,157,32,21,6,1,0,7,271,0,0,4,147,2,26,59,25,2,0,1,1,1,1,29,1,0,0,31,6,3,2,1,12,6,3,3,2,1,0,0,2,4,9,27,2,12,0,0,1,4,6,19,8,27,2,2,2,12,14,76,2,12,10,37,2,19,0,0,4,50,12,54,3,20,6,58,11,62,45,222,16,75,9,21,13,61,6,12,3,4,11,4,38,0,0,5,10,2,3,1,10,37,0,0,279,11,218,0,0,0,20.5,2,6.5,4,10,7,7,3,1,10,3,5,7,2,0,0,2,1,2,0,57,65
8480,4240,KC,23,14,0,9,0,12,9,2,190,40,150,25,15,1,2,0,5,178,3,22,3,30,1,0,55,35,3,1,2,0,0,0,39,3,2,93,25,21,8,9,4,12,7,2,3,5,49,0,0,1,-1,23,93,2,9,2,-2,5,42,16,67,15,79,7,44,8,62,6,33,5,52,6,58,3,0,0,0,3,16,10,78,5,37,5,25,3,19,32,288,13,99,5,21,8,30,4,6,5,10,71,10,91,3,5,0,0,2,2,2,13,9,1,2,353,12,178,0,4,0,4,5,2,3,10,16,0,3,2,6,2,6,2,1,2,0,0,2,1,0,65,57
8481,4241,SD,20,3,3,7,7,5,8,2,110,29,207,35,21,3,1,0,7,355,1,0,1,17,2,45,45,34.5,2,0,2,0,2,2,92,1,1,45,80,11,8,2,1,16,4,7,5,1,13,7,31,3,9,12,42,1,1,5,14,0,0,16,81,12,28,1,1,2,5,11,42,7,39,11,67,2,0,3,60,1,0,2,0,15,113,5,34,13,61,50,309,10,71,9,56,19,60,7,12,2,10,33,8,35,5,21,10,94,2,2,2,5,21,1,1,403,15,302,1,1,0,5,1,14.5,6.5,8.5,11.5,5,3,2,9,2,9,0,2,2,1,3,1,0,0,72,66
8482,4241,DEN,27,7,0,7,13,11,10,0,212,34,293,31,19,2,2,3,3,134,3,33,0,0,1,22,35,25.5,3,2,1,0,2,2,83,2,1,147,152,16,10,5,1,16,8,4,4,1,0,9,90,4,10,9,52,2,2,5,58,0,0,17,129,11,72,2,11,0,0,4,17,8,42,10,116,3,46,3,34,3,34,17,204,6,51,2,29,6,5,29,218,15,92,9,106,9,83,4,8,7,6,55,11,170,10,77,8,49,5,16,0,0,8,2,0,437,16,134,0,1,0,11.5,1,10.5,9.5,6,11.5,19,3,1,6,2,7,0,1,1,0,2,2,0,0,66,72
8483,4242,SEA,36,10,20,6,0,7,14,1,147,39,209,32,22,1,0,0,2,91,4,139,0,0,3,56,70,36.5,4,1,3,0,3,4,137,6,3,69,80,16,7,7,2,17,5,5,7,3,4,2,17,0,0,18,40,0,0,3,-1,9,82,19,58,12,89,4,-5,5,13,9,44,4,29,12,92,2,24,2,36,3,0,10,80,8,61,11,71,2,6,35,300,9,41,12,67,12,101,5,11,6,9,59,6,41,0,0,0,0,6,13,3,-1,16,0,0,514,12,93,0,2,0,7,4,3,8.5,3,6.5,1,4,3,6,2,11,0,1,1,0,0,0,3,1,72,58
8484,4242,ARI,6,0,6,0,0,0,13,3,27,13,205,43,20,2,3,0,6,284,1,2,1,17,0,0,43,23.5,1,0,1,0,0,1,0,2,1,0,21,2,1,1,0,19,10,4,5,4,9,0,0,0,0,5,5,0,0,3,9,1,4,7,12,6,15,0,0,0,0,12,34,13,70,11,88,3,21,2,0,2,0,11,71,16,50,6,51,10,41,34,152,18,117,14,54,13,34,3,11,6,6,9,6,29,0,0,0,0,1,2,5,17,8,0,0,200,11,145,0,1,0,13.5,1,10.5,6.5,10,12.5,0,3,1,6,2,4,0,2,0,0,1,1,2,0,58,72
8485,4243,STL,16,3,13,0,0,9,11,1,133,33,231,38,22,0,0,0,5,259,2,6,3,53,1,42,105,38.5,1,1,0,0,3,5,109,3,1,77,54,16,7,7,2,17,8,8,1,3,17,3,5,1,2,11,68,6,15,2,1,7,25,17,45,12,86,4,2,1,2,17,109,2,8,11,42,2,0,2,18,4,54,13,111,11,39,10,49,4,32,23,102,15,127,13,95,10,9,4,16,2,6,21,7,75,10,20,12,64,3,8,3,0,0,0,0,331,12,239,1,1,0,11.5,2,1.5,1.5,15,24.5,1,4,2,5,0,9,0,1,2,3,1,2,5,0,71,81
8486,4243,SF,19,0,10,3,3,5,13,3,112,35,350,44,28,1,1,0,5,195,0,0,3,65,0,0,60,33,1,0,1,0,4,4,115,4,0,60,244,12,5,5,2,19,6,7,6,1,1,1,-1,7,12,9,44,2,4,4,24,5,19,14,38,12,22,3,43,3,9,13,85,3,5,23,156,2,64,0,0,3,44,16,132,3,77,7,42,18,103,41,432,16,44,14,163,15,143,12,7,9,6,16,7,45,11,18,22,187,6,5,6,10,4,0,0,358,13,169,1,3,0,8,1.5,13,9.5,11,11,4,3,2,11,4,13,0,2,1,1,1,0,3,0,81,71
8487,4244,TB,10,3,0,7,0,4,16,1,77,22,309,47,29,2,2,1,4,147,1,0,0,0,0,0,65,28,1,1,0,0,1,1,39,3,1,42,145,7,3,2,2,21,7,7,7,1,4,3,-1,3,17,8,51,2,3,5,3,0,0,11,24,9,11,2,42,3,14,18,127,3,36,18,57,3,26,0,0,5,79,9,99,10,31,10,61,18,134,42,295,19,90,14,111,16,108,8,14,7,6,14,6,40,0,0,0,0,2,8,6,16,16,2,1,233,10,142,0,1,0,8.5,1,11.5,9.5,6,11.5,17,2,2,10,4,7,0,0,2,0,1,2,1,0,74,64
8488,4244,CAR,38,0,24,7,7,10,12,1,113,34,255,26,21,4,0,2,2,76,2,5,2,51,2,46,33,32,5,3,2,0,1,1,49,4,4,42,134,16,5,7,4,19,7,9,3,1,1,3,16,1,9,12,41,4,11,4,25,5,10,14,36,11,45,5,32,6,10,11,103,0,0,10,118,1,0,0,0,4,72,6,58,12,197,5,16,3,22,45,464,13,92,12,127,5,36,4,8,9,6,20,13,93,0,0,0,0,9,36,3,21,38,0,0,427,11,76,0,1,0,5.5,3,10,13,5.5,14,36,3,3,6,3,4,0,1,0,3,2,1,0,0,64,74
8489,4245,MIN,20,3,3,14,0,6,5,3,151,27,91,19,10,3,1,1,4,159,3,21,2,94,1,0,37,24.5,2,1,0,1,2,2,71,2,1,97,22,12,7,3,2,5,3,1,1,3,44,3,4,1,10,9,31,2,13,2,2,7,46,15,78,9,27,3,45,2,2,1,1,7,58,5,40,1,0,0,0,3,0,5,30,4,37,3,-2,5,34,18,76,7,42,6,9,9,40,2,5,3,6,58,6,8,3,7,0,0,4,13,2,-5,8,1,0.5,248,9,149,0,4,0,10,5,8.5,8.5,6.5,18.5,1,2,1,7,1,5,7,0,0,2,1,1,0,1,48,79
8490,4245,GB,13,3,0,0,10,5,13,1,77,27,274,44,28,5,1,1,4,178,1,10,1,26,1,0,54,35.5,1,0,1,0,2,2,71,4,1,22,118,13,6,4,3,18,10,6,2,4,7,5,8,2,6,4,21,2,5,2,13,6,17,11,30,10,27,4,20,2,13,14,56,8,67,11,57,6,25,2,54,2,32,8,37,19,156,9,59,7,39,49,270,18,140,14,112,17,22,10,10,8,10,38,5,36,0,0,16,84,0,0,10,14,17,1,1,297,12,157,0,1,0,10.5,1,6.5,6,8,6,35,4,2,6,0,7,0,1,2,1,1,1,1,1,79,48
8491,4246,KC,30,7,6,7,10,8,8,2,143,39,173,22,17,3,1,0,4,181,4,34,1,106,4,35,52,34.5,3,1,1,0,3,3,131,3,2,46,73,21,10,8,3,14,7,6,1,6,24,3,2,5,27,7,22,9,43,3,11,2,14,17,73,13,59,5,11,5,27,8,64,3,34,7,28,2,0,2,64,0,0,8,38,2,12,10,128,2,12,33,229,10,57,9,104,6,12,5,7,5,5,22,8,30,0,0,0,0,6,12,2,12,17,0,0,378,11,181,0,3,1,8.5,3,5.5,1,10,12,0,3,2,3,0,6,0,0,2,0,0,3,0,2,63,64
8492,4246,HOU,0,0,0,0,0,3,10,1,115,26,112,34,15,3,4,1,5,228,0,0,0,0,1,0,29,25.5,0,0,0,0,0,0,0,1,0,62,0,10,5,4,1,12,4,3,5,1,0,2,6,3,5,6,17,4,7,8,71,0,0,15,32,8,71,1,3,0,0,11,67,4,4,12,32,2,0,2,0,3,33,17,72,5,22,9,30,3,12,46,174,10,42,13,50,14,20,5,6,4,9,20,8,15,0,0,0,0,3,10,2,0,24,3,0,231,12,194,0,1,0,11.5,1.5,14.5,8,8,9.5,0,2,2,10,2,7,0,0,1,0,1,0,2,0,64,63
8493,4247,PIT,18,0,6,9,3,6,10,5,167,29,202,36,20,4,1,1,7,293,2,8,1,16,1,35,142,30.5,1,0,1,0,4,4,138,4,1,83,134,15,10,5,0,15,6,6,3,4,71,6,24,0,0,3,18,7,25,7,16,2,9,17,101,11,58,1,4,0,0,12,117,7,38,11,61,3,0,1,24,2,0,17,142,8,29,3,9,8,60,51,276,13,49,14,120,13,33,8,7,5,8,50,7,42,4,33,13,40,4,3,4,10,38,2,0,340,14,259,0,2,0,3,1.5,16,11,3,9.5,0,3,2,9,0,9,0,0,1,2,0,2,5,0,74,74
8494,4247,CIN,16,0,0,0,16,5,11,3,92,25,188,41,23,3,1,3,6,255,2,34,2,50,1,0,79,29.5,2,1,1,0,1,1,36,2,1,64,47,9,5,4,0,19,6,7,6,1,6,3,7,3,6,7,52,6,26,2,-4,1,-1,16,31,6,47,1,14,4,10,7,43,7,34,17,70,3,65,1,0,4,0,13,88,7,32,10,58,9,34,49,230,14,44,15,52,15,92,9,10,4,3,-2,8,48,7,23,14,98,2,4,0,0,24,1,1,466,15,247,0,3,0,9.5,2,11,5.5,8.5,15.5,0,2,1,10,3,8,0,2,1,0,0,2,4,0,74,74
8495,4248,SEA,10,0,0,0,10,2,9,2,98,29,129,26,13,2,1,0,5,177,3,10,1,12,0,0,65,27.5,1,0,1,0,1,1,46,1,1,35,57,10,7,3,0,9,3,1,5,3,16,2,8,4,5,12,34,1,13,4,13,1,5,13,56,10,25,4,13,4,22,10,41,3,59,7,20,2,0,0,0,4,22,11,60,6,49,3,0,6,33,36,228,8,65,7,-4,13,68,4,6,3,4,19,2,0,6,18,6,8,1,1,1,3,13,1.5,0,288,11,170,0,2,0,16,3,6,5.5,5,11.5,1,3,1,9,4,6,0,0,1,1,1,3,1,0,58,59
8496,4248,MIN,9,3,0,6,0,4,6,4,60,31,125,24,17,3,0,1,5,172,2,7,3,65,1,24,46,32.5,0,0,0,0,3,4,112,2,0,13,24,8,2,4,2,11,5,4,2,4,21,2,3,4,6,9,22,2,4,2,4,4,0,15,35,8,20,4,5,1,2,7,51,2,13,13,82,2,0,0,0,0,0,7,36,4,9,3,46,10,55,23,112,8,65,9,24,10,36,4,11,2,11,13,9,50,5,16,10,42,7,12,3,13,21,0,0,353,11,162,0,1,0,9,3,9.5,2,7.5,9,0,4,3,6,0,6,0,0,0,0,0,2,0,0,59,58
8497,4249,GB,35,0,17,7,11,11,11,2,142,33,205,36,21,1,0,1,4,181,2,29,1,22,0,0,23,29.5,4,2,2,0,2,2,72,5,4,74,54,17,8,8,1,20,8,9,3,5,51,4,37,1,3,3,5,4,20,4,2,10,24,15,82,13,44,3,16,0,0,8,44,5,43,14,69,5,20,1,34,1,0,8,38,19,143,4,11,3,18,45,289,17,89,11,83,9,33,3,15,3,4,5,9,6,5,45,0,0,6,19,4,22,5,3.5,0,336,13,176,0,1,0,4,3.5,5,9,7,21.5,23,5,3,6,0,8,0,1,0,0,0,0,1,1,75,72
8498,4249,WAS,18,5,6,7,0,5,14,1,85,19,270,46,29,6,0,1,5,253,1,5,5,96,0,0,55,30.5,2,1,1,0,1,1,25,4,1,56,125,7,3,2,2,19,8,7,4,3,10,2,-5,1,0,2,22,5,21,3,35,1,2,9,30,6,40,2,15,1,3,8,52,16,96,12,95,1,0,6,67,3,19,17,102,3,2,18,136,8,89,47,298,20,116,15,89,17,65,8,12,9,7,25,11,55,0,0,0,0,3,2,11,7,59,1,0,369,13,224,0,3,0,7,0,11.5,7,10.5,13,6,3,2,10,2,5,2,1,1,3,3,1,0,0,72,75
8499,4250,KC,20,3,3,7,7,10,14,3,135,32,243,49,29,1,0,1,3,107,2,27,3,90,0,0,40,38,2,1,1,0,2,2,66,4,2,54,52,16,7,4,5,21,8,5,8,6,36,5,41,5,12,6,20,3,5,2,11,5,10,18,71,9,31,5,33,9,44,15,80,9,61,14,53,3,26,1,0,5,26,14,80,15,104,10,33,8,29,62,366,15,78,18,50,17,115,11,14,4,7,35,9,29,0,0,0,0,5,9,10,39,3,0,0,256,9,85,0,2,0,1.5,2,1,1,6.5,22,10,3,3,13,6,6,0,1,2,2,0,0,1,0,89,58
