pid,fgxp,fkicker,dist,good
696574,FG,BM-1650,51,1
696590,FG,CB-2275,28,1
696607,FG,BM-1650,41,1
696653,FG,BM-1650,45,1
696659,FG,CB-2275,47,1
696681,XP,BM-1650,33,1
696699,XP,SG-0800,33,0
696713,XP,BM-1650,33,1
696729,FG,SG-0800,46,1
696753,FG,BM-1650,52,1
696768,FG,SG-0800,38,1
696803,FG,BM-1650,31,1
696858,FG,GG-0100,45,1
696874,XP,GG-0100,33,1
696886,XP,GG-0100,33,1
696910,XP,CC-1150,33,1
696922,XP,GG-0100,33,1
696942,FG,GG-0100,21,1
696956,XP,GG-0100,33,1
696994,XP,GG-0100,33,1
697019,FG,BM-1650,34,1
697032,XP,BM-1650,33,1
697056,XP,GG-0100,33,1
697071,FG,BM-1650,33,1
697108,FG,GG-0100,44,0
697116,FG,BM-1650,30,1
697146,FG,GG-0100,39,1
