pid,punter,pgro,pnet,ptb,pr,pry,pfc
695506,KH-2600,43,37,0,AB-3500,6,0
695512,JB-3275,47,47,0,,0,0
695523,KH-2600,32,32,0,,0,0
695534,JB-3275,33,33,0,BT-0300,0,1
695538,KH-2600,51,51,0,,0,0
695542,JB-3275,44,34,0,BT-0300,10,0
695546,KH-2600,37,35,0,AB-3500,2,0
695566,KH-2600,51,51,0,AB-3500,0,1
695597,KH-2600,41,41,0,AB-3500,0,1
695620,JB-3275,41,41,0,,0,0
695632,JB-3275,45,45,0,BT-0300,0,1
695650,JB-3275,42,18,0,AJ-1200,24,0
695687,JL-2250,23,23,0,,0,0
695710,JR-3700,26,26,0,,0,0
695714,JL-2250,34,27,0,TL-1025,7,0
695728,JL-2250,36,31,0,TL-1025,5,0
695735,JR-3700,29,29,0,,0,0
695758,JR-3700,40,43,0,MS-1300,-3,0
695792,JL-2250,32,32,0,TL-1025,0,1
695796,JR-3700,41,41,0,,0,0
695802,JL-2250,47,49,0,TL-1025,-2,0
695806,JR-3700,41,31,0,MS-1300,10,0
695820,TM-0800,35,35,0,,0,0
695824,TW-1175,57,45,0,MH-4000,12,0
695845,TM-0800,46,46,0,,0,0
695849,TW-1175,60,60,0,,0,0
695853,TM-0800,45,35,0,JC-5680,10,0
695894,TW-1175,49,32,0,MH-4000,17,0
695935,TW-1175,50,50,0,,0,0
695956,TW-1175,37,37,0,,0,0
695962,TM-0800,55,55,0,JC-5680,0,1
696029,RA-0850,41,33,0,FH-0100,8,0
696037,DC-3200,32,32,0,DA-0900,0,1
696041,RA-0850,43,24,0,FH-0100,19,0
696045,DC-3200,33,33,0,,0,0
696122,DC-3200,42,20,0,DA-0900,22,0
696140,RA-0850,42,22,1,,0,0
696170,DB-6350,51,31,0,MH-4000,20,0
696175,TM-0800,37,25,0,PP-0400,12,0
696192,TM-0800,35,35,0,PP-0400,0,1
696196,DB-6350,55,55,0,,0,0
696223,DB-6350,41,41,0,JA-0050,0,1
696277,TM-0800,34,34,0,,0,0
696292,TM-0800,37,37,0,PP-0400,0,1
696346,JR-3700,33,33,0,TG-0900,0,1
696374,JR-3700,42,42,0,,0,0
696402,BN-0700,46,46,0,TL-1025,0,1
696421,BN-0700,39,31,0,TL-1025,8,0
696438,BN-0700,35,35,0,TL-1025,0,1
696447,JR-3700,34,34,0,TG-0900,0,0
696457,BN-0700,35,35,0,,0,0
696474,BN-0700,33,33,0,TL-1025,0,1
