uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88115,4234,RM-5050,0,0,0,0,0,0,0,0,0,0,0,0,0,5,141,0,1,0,0,0,-2,-2,-1,1,1,2015,CLE,RB,41,4
88116,4234,DJ-1850,0,0,0,0,0,4,2,11,0,6,4,34,0,0,0,0,0,0,0,39,4.5,6.5,8.5,1,1,2015,CLE,RB,29,2
88117,4234,DJ-0850,0,0,0,0,0,0,0,0,0,10,6,45,0,0,0,0,0,0,0,77,4.5,7.5,10.5,1,1,2015,CLE,RWR,10,3
88118,4234,FT-0300,0,0,0,0,0,12,4,24,0,0,0,0,0,0,0,0,0,0,1,33,4.4,4.4,4.4,2,2,2015,PIT,RB,33,3
88119,4234,JD-2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,1,6,2015,CLE,TE,81,1
88120,4234,TP-2400,0,0,0,0,0,0,0,0,0,6,1,42,0,0,0,0,0,20,0,60,4.2,4.7,5.2,1,5,2015,CLE,LWR,17,3
88121,4235,DR-2250,0,0,0,0,0,5,0,9,0,1,0,0,0,0,0,0,1,0,0,15,-1.1,-1.1,-0.1,2,3,2015,JAC,RB,16,2
88122,4235,BB-2425,32,17,239,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,3.56,5.56,4.56,2,2,2015,JAC,QB,5,1
88123,4235,JT-2000,0,0,0,0,0,0,0,0,0,6,2,12,0,0,0,0,0,0,0,35,1.2,2.2,3.2,2,5,2015,JAC,TE,80,1
88124,4235,BD-0150,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,3,0,0,0,1,3,2015,HOU,QB,2,3
88125,4235,BH-1900,40,25,249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,11.96,12.96,11.96,1,7,2015,HOU,QB,7,1
88126,4235,AH-3875,0,0,0,0,0,3,2,28,0,3,1,27,0,0,0,0,0,5,0,7,5.5,6,6.5,1,1,2015,HOU,RB,33,4
88127,4235,AB-1975,0,0,0,0,0,21,11,102,0,1,1,2,0,0,0,0,0,0,0,39,10.4,10.9,14.4,1,2,2015,HOU,RB,28,1
88128,4235,RG-1812,0,0,0,0,0,0,0,0,0,2,1,5,0,4,50,0,0,0,0,13,0.5,1,1.5,2,1,2015,JAC,LWR,13,3
88129,4235,AR-1250,0,0,0,0,0,0,0,0,0,9,5,108,0,0,0,0,0,10,0,57,10.8,13.3,18.8,2,2,2015,JAC,LWR,15,1
88130,4235,DH-3950,0,0,0,0,0,0,0,0,0,12,7,89,0,0,0,0,0,0,0,76,8.9,12.4,15.9,1,3,2015,HOU,LWR,10,1
88131,4235,JS-7075,0,0,0,0,0,0,0,0,0,7,6,56,0,0,0,0,0,0,0,60,5.6,8.6,11.6,1,1,2015,HOU,RWR,11,3
88132,4235,NW-0100,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,28,0.6,1.1,1.6,1,11,2015,HOU,RWR,85,1
88133,4235,JG-3050,0,0,0,0,0,9,3,23,0,1,1,4,0,0,0,0,0,0,0,41,2.7,3.2,3.7,2,4,2015,JAC,RB,34,4
88134,4235,AH-3900,0,0,0,0,0,0,0,0,0,5,3,17,0,0,0,0,0,0,0,51,1.7,3.2,4.7,2,2,2015,JAC,RWR,88,1
88135,4235,JG-3850,1,0,0,0,0,4,3,26,1,5,4,28,1,0,0,0,0,0,0,22,17.4,19.4,21.4,1,4,2015,HOU,RB,41,2
88136,4235,CP-1950,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,8,0.4,0.4,0.4,1,4,2015,HOU,RB,22,3
88137,4235,CF-0375,0,0,0,0,0,0,0,0,0,3,2,14,0,0,0,0,0,0,0,36,1.4,2.4,3.4,1,2,2015,HOU,TE,87,1
88138,4235,ML-0650,0,0,0,0,0,0,0,0,0,6,3,30,0,0,0,0,0,0,0,28,3,4.5,6,2,2,2015,JAC,RWR,11,2
88139,4235,RG-1870,0,0,0,0,0,0,0,0,0,3,3,27,0,0,0,0,0,0,0,42,2.7,4.2,5.7,1,3,2015,HOU,TE,84,2
88140,4235,KM-3250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,30,0,0,0,1,1,2015,HOU,RWR,12,2
88141,4235,JB-1350,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,1,4,2015,JAC,RB,23,3
88142,4235,ML-1500,0,0,0,0,0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,33,4.5,5,5.5,2,10,2015,JAC,TE,89,1
88143,4235,CH-1200,0,0,0,0,0,0,0,0,0,1,1,18,0,0,0,0,0,0,0,12,1.8,2.3,2.8,2,6,2015,JAC,TE,86,2
88144,4236,JF-3100,28,15,149,1,1,8,4,24,0,0,0,0,0,0,0,0,0,0,0,60,10.36,11.36,10.36,1,7,2015,IND,QB,5,1
88145,4236,TH-1850,0,0,0,0,0,0,0,0,0,7,4,44,0,0,0,0,0,0,0,59,4.4,6.4,8.4,1,4,2015,IND,RWR,13,1
88146,4236,PD-0800,0,0,0,0,0,1,1,11,0,9,4,28,0,0,0,0,0,0,0,52,3.9,5.9,7.9,1,1,2015,IND,RWR,15,2
88147,4236,CF-0650,0,0,0,0,0,0,0,0,0,7,7,88,1,0,0,0,0,0,0,48,14.8,18.3,21.8,1,4,2015,IND,TE,80,1
88148,4236,FG-0200,0,0,0,0,0,19,7,76,0,4,0,0,0,0,0,0,0,5,0,48,7.6,7.6,7.6,1,11,2015,IND,RB,23,1
88149,4236,DH-2550,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,13,0.4,0.4,0.4,1,4,2015,IND,RB,36,2
88150,4236,ZM-0150,13,5,38,1,0,2,1,4,1,0,0,0,0,0,0,0,0,15,0,28,5.92,6.92,5.92,1,2,2015,TEN,QB,7,1
88151,4236,DC-2550,0,0,0,0,0,19,8,73,1,0,0,0,0,0,0,0,0,0,0,33,13.3,13.3,13.3,1,1,2015,TEN,RB,44,3
88152,4236,DW-0500,0,0,0,0,0,1,1,36,0,14,9,94,0,0,0,0,0,0,0,41,13,17.5,22,1,10,2015,TEN,TE,82,1
88153,4236,QB-0250,0,0,0,0,0,0,0,0,0,0,0,0,0,7,56,0,0,0,0,1,0,0,0,1,1,2015,IND,LWR,5,3
88154,4236,JD-2550,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,48,0.3,0.8,1.3,1,3,2015,IND,TE,84,1
88155,4236,DG-2650,0,0,0,0,0,0,0,0,0,5,2,21,1,0,0,0,0,0,0,47,8.1,9.1,10.1,1,1,2015,TEN,LWR,17,2
88156,4236,DM-2775,0,0,0,0,0,0,0,0,0,2,1,-2,0,0,0,0,0,0,0,24,-0.2,0.3,0.8,1,2,2015,IND,WR,10,1
88157,4236,JF-2950,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,2015,TEN,FB,45,1
88158,4236,BS-0650,0,0,0,0,0,4,2,16,0,0,0,0,0,0,0,0,0,0,0,9,1.6,1.6,1.6,1,2,2015,TEN,RB,20,2
88159,4236,AJ-0900,0,0,0,0,0,0,0,0,0,6,4,46,1,0,0,0,0,0,0,44,10.6,12.6,14.6,1,13,2015,IND,LWR,81,1
88160,4236,TW-2862,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,2,1.2,1.2,1.2,1,1,2015,IND,RB,40,3
88161,4236,RL-0950,10,6,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6.32,6.32,6.32,1,4,2015,IND,QB,3,2
88162,4236,AT-0160,14,10,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7.96,7.96,7.96,1,4,2015,TEN,QB,11,2
88163,4236,AA-1350,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,16,0.3,1.3,2.3,1,2,2015,TEN,RB,26,1
88164,4236,HD-0300,0,0,0,0,0,0,0,0,0,2,2,19,0,2,9,0,0,0,0,47,1.9,2.9,3.9,1,8,2015,TEN,LWR,83,1
88165,4236,TM-1150,0,0,0,0,0,1,1,8,0,1,0,0,0,0,0,0,0,0,0,16,0.8,0.8,0.8,1,1,2015,TEN,RWR,16,2
88166,4237,DM-1600,0,0,0,0,0,12,7,92,0,8,5,53,0,0,0,0,1,0,0,61,12.5,15,18.5,2,8,2015,DAL,RB,20,1
88167,4237,KM-2560,48,33,435,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,68,23.4,25.4,27.4,2,4,2015,DAL,QB,17,2
88168,4237,CB-1130,0,0,0,0,0,0,0,0,0,7,5,53,2,0,0,0,0,0,0,42,17.3,19.8,22.3,2,4,2015,DAL,LWR,11,2
88169,4237,KC-2350,15,12,176,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19.04,19.04,19.04,1,4,2015,WAS,QB,8,1
88170,4237,JR-1150,0,0,0,0,0,0,0,0,0,4,4,45,0,0,0,0,0,0,0,13,4.5,6.5,8.5,1,3,2015,WAS,TE,86,1
88171,4237,PG-0100,0,0,0,0,0,0,0,0,0,4,3,49,1,0,0,0,0,0,0,21,10.9,12.4,13.9,1,8,2015,WAS,LWR,88,1
88172,4237,CT-1220,0,0,0,0,0,7,1,19,0,0,0,0,0,0,0,0,0,0,0,18,1.9,1.9,1.9,1,3,2015,WAS,RB,25,3
88173,4237,RG-1650,0,0,0,0,0,0,0,0,0,4,3,18,1,0,0,0,0,0,0,50,7.8,9.3,10.8,1,2,2015,WAS,RWR,14,2
88174,4237,LW-1150,0,0,0,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0,10,0,0,0,2,1,2015,DAL,RWR,13,2
88175,4237,JC-5680,0,0,0,0,0,0,0,0,0,7,5,109,1,3,6,0,0,0,0,40,16.9,19.4,24.9,1,1,2015,WAS,WR,80,1
88176,4237,BB-4100,0,0,0,0,0,0,0,0,0,10,4,60,0,0,0,0,0,0,0,59,6,8,10,2,3,2015,DAL,RWR,19,3
88177,4237,TW-2270,0,0,0,0,0,0,0,0,0,9,8,173,0,0,0,0,0,0,0,54,17.3,21.3,28.3,2,3,2015,DAL,RWR,83,1
88178,4237,JW-6000,0,0,0,0,0,0,0,0,0,8,6,58,1,0,0,0,0,0,0,67,11.8,14.8,17.8,2,13,2015,DAL,TE,82,1
88179,4237,AM-2850,0,0,0,0,0,19,10,100,0,0,0,0,0,0,0,0,0,0,0,30,10,10,13,1,4,2015,WAS,RB,46,1
88180,4237,RT-1950,0,0,0,0,0,2,0,6,0,1,1,-1,0,0,0,0,0,0,0,6,0.5,1,1.5,2,4,2015,DAL,RB,23,3
88181,4237,GS-1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,1,1,2015,DAL,TE,87,2
88182,4237,JH-0860,0,0,0,0,0,0,0,0,0,3,3,28,0,0,0,0,0,0,0,17,2.8,4.3,5.8,2,4,2015,DAL,TE,84,1
88183,4237,PT-0400,0,0,0,0,0,7,2,30,0,2,1,5,0,0,0,0,0,0,0,17,3.5,4,4.5,1,9,2015,WAS,RB,39,4
88184,4237,JH-3210,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,1,3,2015,DAL,FS,38,1
88185,4237,CM-1500,11,7,128,0,1,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,41,8.82,8.82,8.82,1,6,2015,WAS,QB,16,2
88186,4237,RR-1150,0,0,0,0,0,0,0,0,0,3,2,71,1,0,0,0,0,0,0,43,13.1,14.1,15.1,1,3,2015,WAS,LWR,19,2
88187,4237,DY-0200,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,10,0,11,0.7,1.2,1.7,1,7,2015,WAS,FB,36,1
88188,4237,AS-1700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,0,0,0,1,11,2015,WAS,TE,83,2
88189,4237,DS-4750,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,15,1.1,1.6,2.1,2,2,2015,DAL,LWR,15,1
88190,4238,SB-1100,38,30,320,1,2,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,66,18.6,19.6,21.6,1,6,2015,PHI,QB,7,1
88191,4238,RM-1200,0,0,0,0,0,4,1,11,0,2,1,7,0,0,0,0,0,0,0,8,1.8,2.3,2.8,1,6,2015,PHI,RB,24,2
88192,4238,DS-3300,0,0,0,0,0,3,3,24,1,3,3,20,0,0,0,0,0,0,0,11,10.4,11.9,13.4,1,11,2015,PHI,RB,43,3
88193,4238,BC-0700,0,0,0,0,0,0,0,0,0,2,2,38,0,0,0,0,0,0,0,31,3.8,4.8,5.8,1,9,2015,PHI,TE,87,1
